sep=;
Dataset;k;alpha;accuracy;weights;time
biodegradation;7;0.900;66.266;[0.098, 0.623, 0.058, 0.000, 0.000, 0.000, 0.221];39.833
biodegradation;7;0.500;66.266;[0.180, 0.214, 0.000, 0.000, 0.214, 0.214, 0.179];44.642
biodegradation;7;0.600;66.266;[0.076, 0.318, 0.108, 0.000, 0.000, 0.318, 0.179];46.935
biodegradation;7;0.100;66.266;[0.000, 0.208, 0.227, 0.149, 0.208, 0.208, 0.000];50.465
biodegradation;7;0.700;66.266;[0.184, 0.558, 0.039, 0.037, 0.000, 0.000, 0.182];47.091
biodegradation;7;0.300;66.455;[0.200, 0.196, 0.000, 0.080, 0.000, 0.196, 0.327];51.555
vehicle;7;0.000;26.159;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];10.765
vehicle;7;0.100;25.801;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.197
vehicle;7;0.200;28.891;[0.000, 0.000, 0.958, 0.000, 0.000, 0.000, 0.042];12.197
vehicle;7;0.300;23.661;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];11.586
vehicle;7;0.500;25.443;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.291
vehicle;7;0.600;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.074
vehicle;7;0.400;25.487;[0.000, 0.000, 0.000, 0.000, 0.088, 0.000, 0.912];11.724
vehicle;7;0.700;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.138
vehicle;7;0.800;26.405;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.058
vehicle;7;0.900;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.188
vehicle;7;1.000;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.403
wdbc;7;0.200;62.953;[0.577, 0.000, 0.000, 0.000, 0.000, 0.000, 0.423];7.924
wdbc;7;0.000;71.433;[0.000, 0.000, 0.402, 0.000, 0.000, 0.000, 0.598];8.347
wdbc;7;0.100;63.289;[0.000, 0.000, 0.572, 0.000, 0.000, 0.000, 0.428];8.240
vehicle;7;1.000;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.494
wdbc;7;0.300;67.458;[0.000, 0.000, 0.645, 0.000, 0.000, 0.000, 0.355];8.102
wdbc;7;0.400;70.717;[0.192, 0.000, 0.265, 0.000, 0.000, 0.000, 0.543];8.493
wdbc;7;0.500;88.404;[0.000, 0.000, 0.205, 0.000, 0.000, 0.000, 0.795];8.407
wdbc;7;0.600;85.025;[0.000, 0.000, 0.168, 0.000, 0.000, 0.000, 0.832];8.506
wdbc;7;0.700;86.057;[0.000, 0.000, 0.262, 0.000, 0.000, 0.000, 0.738];9.084
biodegradation;7;1.000;66.266;[0.105, 0.623, 0.040, 0.000, 0.000, 0.000, 0.232];40.749
wdbc;7;0.900;79.716;[0.000, 0.000, 0.292, 0.000, 0.000, 0.000, 0.708];8.979
wdbc;7;0.800;79.031;[0.000, 0.000, 0.343, 0.000, 0.000, 0.000, 0.657];9.155
wdbc;7;1.000;82.184;[0.000, 0.000, 0.289, 0.000, 0.000, 0.000, 0.711];9.245
wdbc;7;1.000;77.596;[0.000, 0.000, 0.356, 0.000, 0.000, 0.000, 0.644];9.943
biodegradation;7;1.000;66.266;[0.105, 0.623, 0.040, 0.000, 0.000, 0.000, 0.232];42.241
seismic-bumps;3;0.500;93.421;[0.601, 0.000, 0.000, 0.000, 0.000, 0.000, 0.399];111.375
seismic-bumps;3;0.700;93.421;[0.827, 0.000, 0.000, 0.000, 0.000, 0.000, 0.173];110.584
seismic-bumps;3;0.100;93.421;[0.152, 0.000, 0.848, 0.000, 0.000, 0.000, 0.000];119.406
seismic-bumps;3;0.600;93.382;[0.795, 0.000, 0.000, 0.000, 0.000, 0.000, 0.205];116.466
seismic-bumps;3;0.400;93.421;[0.000, 0.000, 0.728, 0.000, 0.000, 0.000, 0.272];117.282
seismic-bumps;3;0.900;93.421;[0.000, 0.000, 0.879, 0.000, 0.000, 0.000, 0.121];113.618
seismic-bumps;3;0.000;93.421;[0.926, 0.000, 0.000, 0.074, 0.000, 0.000, 0.000];131.697
seismic-bumps;3;0.800;93.421;[0.155, 0.000, 0.727, 0.000, 0.000, 0.000, 0.118];124.750
seismic-bumps;3;0.200;93.421;[0.928, 0.000, 0.000, 0.002, 0.000, 0.000, 0.070];141.479
seismic-bumps;3;0.300;93.421;[0.158, 0.000, 0.000, 0.745, 0.000, 0.000, 0.097];142.363
seismic-bumps;5;0.000;93.421;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];102.372
seismic-bumps;3;1.000;93.421;[0.000, 0.000, 0.797, 0.000, 0.000, 0.000, 0.203];110.605
seismic-bumps;3;1.000;93.421;[0.000, 0.000, 0.920, 0.000, 0.000, 0.000, 0.080];111.134
seismic-bumps;5;0.300;93.421;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];109.404
seismic-bumps;5;0.400;93.421;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];102.875
seismic-bumps;5;0.500;93.421;[0.217, 0.000, 0.217, 0.000, 0.000, 0.000, 0.566];121.225
seismic-bumps;5;0.700;93.459;[0.497, 0.000, 0.000, 0.000, 0.000, 0.000, 0.503];107.774
seismic-bumps;5;0.200;93.421;[0.000, 0.000, 0.000, 0.029, 0.000, 0.000, 0.971];133.939
seismic-bumps;5;0.600;93.421;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];111.456
seismic-bumps;5;0.100;93.420;[0.000, 0.000, 0.411, 0.038, 0.000, 0.000, 0.551];144.929
seismic-bumps;5;0.800;93.421;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];108.771
seismic-bumps;5;0.900;93.421;[0.000, 0.000, 0.033, 0.000, 0.000, 0.000, 0.967];110.329
seismic-bumps;7;0.000;93.421;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];104.180
seismic-bumps;5;1.000;93.421;[0.000, 0.000, 0.033, 0.000, 0.000, 0.000, 0.967];110.941
seismic-bumps;5;1.000;93.421;[0.000, 0.000, 0.512, 0.000, 0.000, 0.000, 0.488];112.436
seismic-bumps;7;0.200;93.421;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];106.439
seismic-bumps;7;0.400;93.421;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];107.372
seismic-bumps;7;0.100;93.421;[0.896, 0.000, 0.000, 0.000, 0.000, 0.000, 0.104];113.747
seismic-bumps;7;0.500;93.421;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];103.871
seismic-bumps;7;0.300;93.421;[0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0.500];115.387
seismic-bumps;7;0.700;93.459;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];84.167
seismic-bumps;7;0.600;93.421;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];90.948
seismic-bumps;7;0.800;93.421;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];88.842
seismic-bumps;7;0.900;93.421;[0.000, 0.000, 0.012, 0.000, 0.000, 0.000, 0.988];88.773
seismic-bumps;7;1.000;93.421;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];83.436
seismic-bumps;7;1.000;93.421;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];78.528
